NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
,131857,13.31583333,0244942,24.82833333,DAMAGED,~25 of ~50,,25,50,,,
DOLA,131905,13.31805556,0245404,24.90111111,DESTROYED,~200 of ~200,2008/2009,200,200,2008,2009,
LABABIS,131613,13.27027778,0244822,24.80611111,DESTROYED,~100 of ~100,,100,100,,,
SURRI,131740,13.29444444,0245013,24.83694444,DESTROYED,~250 of ~300 ,2004,250,300,2004,2004,
NANOREE,131813,13.30361111,0245206,24.86833333,DESTROYED,~75 of ~100,2003/2004,75,100,2003,2004,
NIJOU,132032,13.34222222,0244800,24.80000000,DAMAGED,~50 of ~200,2004,50,200,2004,2004,
HUJAJ,131945,13.32916667,0244913,24.82027778,DAMAGED,~200 of ~500 ,2004,200,500,2004,2004,
TARNY  ,131916,13.32111111,0245138,24.86055556,DESTROYED,~200 of ~300 ,2004,200,300,2004,2004,
TARNY NORTH,131938,13.32722222,0245112,24.85333333,DESTROYED,~250 of ~350 ,2004,250,350,2004,2004,
DELMUJO,132116,13.35444444,0245110,24.85277778,DESTROYED,,2004,,,2004,2004,
,131953,13.33138889,0245321,24.88916667,DESTROYED,~100 of ~100 ,2004,100,100,2004,2004,
,132015,13.33750000,0245307,24.88527778,DESTROYED,~300 of ~300,2004,300,300,2004,2004,
KHAZAN TUNGUR,131959,13.33305556,0245400,24.90000000,DESTROYED,~600 of ~600,2004,600,600,2004,2004,
KAJAN GESE,124124,12.69000000,0223127,22.52416667,NO DAMAGE,~200,,,200,,,
WEIGO,122103,12.35083333,0224151,22.69750000,DESTROYED,,2003,,,2003,2003,
KHAYR WAJIH,105113,10.85361111,0243847,24.64638889,NO DAMAGE,~50,,,50,,,
,104557,10.76583333,0244237,24.71027778,DESTROYED,~50 of ~50,2007,50,50,2007,2007,
TURMANA,104748,10.79666667,0244143,24.69527778,DESTROYED,~50 of ~50,2007,50,50,2007,2007,
SOLE,143530,14.59166667,0242845,24.47916667,NO DAMAGE,~350,,,350,,,
,143740,14.62777778,0242417,24.40472222,DESTROYED,~50 of ~50,2005/2006,50,50,2005,2006,
,143426,14.57388889,0242253,24.38138889,DAMAGED,~10 of ~25 ,,10,25,,,
,143657,14.61583333,0242227,24.37416667,DESTROYED,~50 of ~50,2005/2006,50,50,2005,2006,
,143652,14.61444444,0242259,24.38305556,DESTROYED,~100 of ~100,2005/2006,100,100,2005,2006,
DOR ,143455,14.58194444,0242448,24.41333333,DESTROYED,~200 of ~250 ,2003/2004,200,250,2003,2004,
UMDABOOK,122810,12.46944444,0222504,22.41777778,DESTROYED,~200 of ~200,2004,200,200,2004,2004,
TELEHAIA,122823,12.47305556,0222615,22.43750000,DESTROYED,~200 of ~200 ,2004,200,200,2004,2004,
,122723,12.45638889,0222350,22.39722222,DESTROYED,~75 of ~75,2004,75,75,2004,2004,
ABU DAHIA,124211,12.70305556,0222920,22.48888889,NO DAMAGE,~600,,,600,,,
,134409,13.73583333,0222233,22.37583333,NO DAMAGE,~100,,,100,,,
CELILA,133608,13.60222222,0223012,22.50333333,NO DAMAGE,~150,,,150,,,
KEYLIS,122042,12.34500000,0224437,22.74361111,DESTROYED,~75 of ~75,2004,75,75,2004,2004,
,143124,14.52333333,0223459,22.58305556,DESTROYED,~10 of ~10 ,2003/2004,10,10,2003,2004,
,143118,14.52166667,0223411,22.56972222,DESTROYED,~25 of ~50 ,2003/2004,25,50,2003,2004,
,143222,14.53944444,0223357,22.56583333,DAMAGED,~10 of ~25 ,2003/2004,10,25,2003,2004,
,143759,14.63305556,0223336,22.56000000,DESTROYED,~100 of ~100 ,,100,100,,,
,143851,14.64750000,0223532,22.59222222,DESTROYED,~10 of ~25 ,2003/2004,10,25,2003,2004,
,143924,14.65666667,0223557,22.59916667,DAMAGED,~25 of ~50 ,2003/2004,25,50,2003,2004,
,143734,14.62611111,0223650,22.61388889,DESTROYED,~10 of ~25 ,2003/2004,10,25,2003,2004,
,143749,14.63027778,0223715,22.62083333,DESTROYED,~25 of ~50,2003/2004,25,50,2003,2004,
,143748,14.63000000,0223729,22.62472222,DAMAGED,~25 of ~75 ,2003/2004,25,75,2003,2004,
,143726,14.62388889,0223732,22.62555556,DESTROYED,~25 of ~25 ,2003/2004,25,25,2003,2004,
,143749,14.63027778,0223750,22.63055556,DAMAGED,~10 of ~25 ,2003/2004,10,25,2003,2004,
,143817,14.63805556,0223812,22.63666667,DESTROYED,~25 of ~50 ,2004,25,50,2004,2004,
,143707,14.61861111,0223758,22.63277778,NO DAMAGE,~75,,,75,,,
,135632,13.94222222,0223601,22.60027778,DESTROYED,~75 of ~75,2006,75,75,2006,2006,
,135517,13.92138889,0223720,22.62222222,DESTROYED,~25 of ~25 ,2006,25,25,2006,2006,
,135052,13.84777778,0223812,22.63666667,DESTROYED,~25 of ~25,2007,25,25,2007,2007,
,134532,13.75888889,0222937,22.49361111,DAMAGED,~10 of ~75  ,2006,10,75,2006,2006,
SHEEYO ED ATEEN,134438,13.74388889,0223029,22.50805556,DESTROYED,~75 of ~100,2006,75,100,2006,2006,
,135329,13.89138889,0222813,22.47027778,DAMAGED,~25 of ~75 ,2006,25,75,2006,2006,
RUNJU RUNJU,134625,13.77361111,0222949,22.49694444,DAMAGED,~75 of ~150,2006,75,150,2006,2006,
SIRBA,134829,13.80805556,0223014,22.50388889,DAMAGED,Secondary Town; ~400 of ~1200,2006,400,1200,2006,2006,1
BIR TAWIL,142422,14.40611111,0222614,22.43722222,DESTROYED,~50 of ~50,2004,50,50,2004,2004,
,142643,14.44527778,0222912,22.48666667,DESTROYED,~50 of ~50,,50,50,,,
FALANKEI,142722,14.45611111,0223018,22.50500000,DESTROYED,~75 of ~75,2003/2004,75,75,2003,2004,
,142623,14.43972222,0223222,22.53944444,DESTROYED,~25 of ~50,,25,50,,,
,142639,14.44416667,0222711,22.45305556,DESTROYED,~10 of ~25,,10,25,,,
,142619,14.43861111,0222657,22.44916667,DESTROYED,~25 of ~25,2004/2005,25,25,2004,2005,
ESBARA,142626,14.44055556,0222801,22.46694444,DESTROYED,~100 of ~100,2003/2004,100,100,2003,2004,
,134139,13.69416667,0224904,22.81777778,NO DAMAGE,,,,,,,
,134159,13.69972222,0224818,22.80500000,NO DAMAGE, ,,,,,,
DOLEIBA,134034,13.67611111,0224753,22.79805556,NO DAMAGE,,,,,,,
IDD EL KHALA,133527,13.59083333,0225113,22.85361111,NO DAMAGE,,,,,,,
BIR QIRHAB,133954,13.66500000,0224755,22.79861111,NO DAMAGE,,,,,,,
KAGOLEI,133754,13.63166667,0224533,22.75916667,NO DAMAGE,~100,,,100,,,
,133841,13.64472222,0224549,22.76361111,NO DAMAGE,~50,,,50,,,
JERUF,134552,13.76444444,0224941,22.82805556,NO DAMAGE,,,,,,,
,134555,13.76527778,0224905,22.81805556,NO DAMAGE,,,,,,,
,134543,13.76194444,0224834,22.80944444,NO DAMAGE,,,,,,,
KORNI,134647,13.77972222,0224740,22.79444444,NO DAMAGE,,,,,,,
KALAJU,115639,11.94416667,0254156,25.69888889,DESTROYED,,2006,,,2006,2006,
ANGABO,115006,11.83500000,0260155,26.03194444,DESTROYED,~1000 of ~1000,2006,1000,1000,2006,2006,
KAMIRAH,114748,11.79666667,0260334,26.05944444,DESTROYED,~50 of ~50,2007,50,50,2007,2007,
ABUSHATTA,114814,11.80388889,0260240,26.04444444,DESTROYED, ~10 of ~10,2007,10,10,2007,2007,
HILET ASIR,114921,11.82250000,0260332,26.05888889,DESTROYED,~10 of ~10,,10,10,,,
HILET BERGO,114703,11.78416667,0255911,25.98638889,NO DAMAGE,~25,,,25,,,
,114747,11.79638889,0255819,25.97194444,DAMAGED,~5 of ~10,2006,5,10,2006,2006,
GARNAYA,114827,11.80750000,0260607,26.10194444,DESTROYED,~100 of ~100,2007,100,100,2007,2007,
HILET DOUS,114920,11.82222222,0260622,26.10611111,DESTROYED,~50 of ~50,2007,50,50,2007,2007,
EYAL KORIB,114906,11.81833333,0260536,26.09333333,DESTROYED,~25 of ~25,2007,25,25,2007,2007,
HILET TING,114828,11.80777778,0260445,26.07916667,DESTROYED,~50 of ~50,2007,50,50,2007,2007,
,115100,11.85000000,0260812,26.13666667,DESTROYED,~25 of ~25,2007,25,25,2007,2007,
HILET IBRA,114634,11.77611111,0260556,26.09888889,DESTROYED,~25 of ~25,2007,25,25,2007,2007,
,114204,11.70111111,0254811,25.80305556,DESTROYED,,2004,,,2004,2004,
,114340,11.72777778,0254510,25.75277778,DESTROYED,~50 of ~75,2006,50,75,2006,2006,
,114414,11.73722222,0254453,25.74805556,DESTROYED,~75 of ~100,2006,75,100,2006,2006,
,114118,11.68833333,0254710,25.78611111,DESTROYED,~25 of ~25,2004,25,25,2004,2004,
,114315,11.72083333,0254751,25.79750000,DESTROYED,~50 of ~50,2004,50,50,2004,2004,
EL MINGEB,113107,11.51861111,0261229,26.20805556,DAMAGED,,2007,,,2007,2007,
,113244,11.54555556,0261419,26.23861111,DESTROYED,~75 of ~75,,75,75,,,
,113317,11.55472222,0261316,26.22111111,DESTROYED,~100 of ~100,,100,100,,,
,113236,11.54333333,0261128,26.19111111,NO DAMAGE,~100,,,100,,,
FOWAR,111237,11.21027778,0250559,25.09972222,DESTROYED, ,2006,,,2006,2006,
,111114,11.18722222,0251015,25.17083333,DESTROYED,,2006,,,2006,2006,
SHANGA 1,111235,11.20972222,0250915,25.15416667,DESTROYED, ,2006,,,2006,2006,
UMM BAZALAT,111420,11.23888889,0251102,25.18388889,DESTROYED,,2006,,,2006,2006,
UMM GABASHA,111709,11.28583333,0250645,25.11250000,DESTROYED,~100 of ~100,2006,100,100,2006,2006,
SARAFAYA,124713,12.78694444,0222046,22.34611111,NO DAMAGE,~300,,,300,,,
KOMA FORGI,124748,12.79666667,0221905,22.31805556,DESTROYED,,2004/2005,,,2004,2005,
KUJUNUNG KASAY,124648,12.78000000,0221714,22.28722222,DESTROYED,~450 of ~450,2004,450,450,2004,2004,
DORTU,124524,12.75666667,0222046,22.34611111,DESTROYED,,2004/2005,,,2004,2005,
KONTY,125755,12.96527778,0222233,22.37583333,DESTROYED,,2004,,,2004,2004,
CONY,125652,12.94777778,0222103,22.35083333,DESTROYED,~100 of ~100,2004,100,100,2004,2004,
FRICKCICI,125659,12.94972222,0222131,22.35861111,DESTROYED,,2004,,,2004,2004,
KONLALLA DONGY,125558,12.93277778,0222038,22.34388889,DESTROYED,~150 of ~150,2004/2005,150,150,2004,2005,
ULANG,125254,12.88166667,0222056,22.34888889,DESTROYED,~400 of ~400,2004/2005,400,400,2004,2005,
KABASKASHEFA,125210,12.86944444,0222127,22.35750000,DESTROYED,~100 of ~100,2004/2005,100,100,2004,2005,
KARSHA,122309,12.38583333,0222634,22.44277778,DESTROYED,,2004,,,2004,2004,
TANDOSA A,121813,12.30361111,0222749,22.46361111,NO DAMAGE,  ,,,,,,
TANDOSA B,121734,12.29277778,0222654,22.44833333,DESTROYED,~50 of ~50,2003,50,50,2003,2003,
REEDINA,121754,12.29833333,0222956,22.49888889,NO DAMAGE,~25,,,25,,,
HYMAIDA,121524,12.25666667,0222827,22.47416667,NO DAMAGE,~100,,,100,,,
,121605,12.26805556,0222934,22.49277778,NO DAMAGE,~50,,,50,,,
DENGER,122038,12.34388889,0222836,22.47666667,DESTROYED,~25 of ~25,2004,25,25,2004,2004,
BENDATA,122016,12.33777778,0222904,22.48444444,DESTROYED,~75 of ~75,2003,75,75,2003,2003,
DAMOUSSA,122558,12.43277778,0222626,22.44055556,NO DAMAGE,~450,,,450,,,
GOBE,122637,12.44361111,0222707,22.45194444,NO DAMAGE,Secondary Town; ~1500,,,,,,1
DOLONGA,122632,12.44222222,0222821,22.47250000,NO DAMAGE,~100,,,100,,,
ESHBARRA,122747,12.46305556,0222739,22.46083333,NO DAMAGE,~25,,,25,,,
AMBLENG,122946,12.49611111,0222628,22.44111111,DESTROYED,,2004,,,2004,2004,
KAJA BAGOL,121258,12.21611111,0222900,22.48333333,NO DAMAGE,~100,,,100,,,
UMDIRBO HAJEER,120942,12.16166667,0223019,22.50527778,NO DAMAGE,~100,,,100,,,
REWANA,124824,12.80666667,0223013,22.50361111,DESTROYED,~25 of ~25,,25,25,,,
MESSEMENGE,124633,12.77583333,0223100,22.51666667,NO DAMAGE,~200,,,200,,,
DORTY,124451,12.74750000,0223102,22.51722222,NO DAMAGE,~75,,,75,,,
KHAROBA,124506,12.75166667,0223146,22.52944444,DESTROYED,~100 of ~100,2005/2006,100,100,2005,2006,
DULMANGA,124336,12.72666667,0223215,22.53750000,DESTROYED,~200 of ~200,2005/2006,200,200,2005,2006,
DANAJOURA,124253,12.71472222,0223108,22.51888889,DESTROYED,,2005/2006,,,2005,2006,
LULAN,124139,12.69416667,0223106,22.51833333,NO DAMAGE,~25,,,25,,,
SHILO LOKI,124141,12.69472222,0223209,22.53583333,NO DAMAGE,~75,,,75,,,
NUR AL HUDA,124110,12.68611111,0223224,22.54000000,NO DAMAGE,~250,,,250,,,
DAR AL SALAM,124021,12.67250000,0223317,22.55472222,NO DAMAGE,~100,,,100,,,
HABILA,124101,12.68361111,0223344,22.56222222,NO DAMAGE,Secondary Town,,,,,,1
KUCHUKUCHITA,125642,12.94500000,0222951,22.49750000,DESTROYED,~100 of ~100,2004,100,100,2004,2004,
LLILI,125714,12.95388889,0223255,22.54861111,DESTROYED,~25 of ~25,2004,25,25,2004,2004,
SHAKAM SHAKAM,124431,12.74194444,0222924,22.49000000,NO DAMAGE,~100,,,100,,,
,125329,12.89138889,0223421,22.57250000,DESTROYED,,2004,,,2004,2004,
,125639,12.94416667,0222643,22.44527778,DESTROYED,~300 of ~300,2004,300,300,2004,2004,
ASMAL MOLOK,125421,12.90583333,0222301,22.38361111,DESTROYED,,2004/2005,,,2004,2005,
SAWANY,125300,12.88333333,0222339,22.39416667,NO DAMAGE,~200,,,200,,,
FURA,125255,12.88194444,0222648,22.44666667,DESTROYED,~100 of ~100,2004,100,100,2004,2004,
,124616,12.77111111,0222222,22.37277778,DESTROYED,,2004/2005,,,2004,2005,
TAWENG,124748,12.79666667,0222423,22.40638889,NO DAMAGE, ,,,,,,
KASAR ROS,125208,12.86888889,0222631,22.44194444,DESTROYED,~150 of ~150,2004,150,150,2004,2004,
,125238,12.87722222,0222612,22.43666667,DESTROYED,~75 of ~75,2004,75,75,2004,2004,
,125308,12.88555556,0222735,22.45972222,DESTROYED,~50 of ~50,2004,50,50,2004,2004,
HARAM ALKAWAL,123938,12.66055556,0223353,22.56472222,NO DAMAGE, ,,,,,,
TAMBELI,123918,12.65500000,0223325,22.55694444,DESTROYED,~50 of ~50,,50,50,,,
